wavelengths,cal_factor,sensitivity
474.034,0.0006902158247421177,3.021502029055455
474.427,0.0006957437950481809,3.0196078042611134
474.82,0.0006892680250448328,3.072965988551232
475.213,0.0006881375981417143,3.098449458700088
475.606,1.2263886095603475e-6,1751.0354476477496
475.999,1.1970198991646763e-6,1804.4615345468037
476.391,1.1690675504721603e-6,1857.4705813538499
476.784,1.1437118245572332e-6,1908.8454369406873
477.177,1.1214434007178823e-6,1959.1373233665158
477.57,1.1024725923626181e-6,2007.9990694108503
477.962,1.0845326164159884e-6,2056.7227240882467
478.355,1.0664451470063492e-6,2103.6503899485756
478.747,1.048244927834109e-6,2151.694631267268
479.14,1.0314282074235187e-6,2198.588551374071
479.532,1.0155889924179652e-6,2245.088335910958
479.925,1.0005293670905183e-6,2291.1273895916793
480.317,9.880347836424507e-7,2336.0441705991984
480.71,9.773675145001432e-7,2378.461656818813
481.102,9.665247340223338e-7,2422.8806935797265
481.494,9.574833238954816e-7,2465.646190400655
481.886,9.491757693060253e-7,2507.4183811185585
482.278,9.399902900974835e-7,2548.230435156176
482.671,9.299140205840135e-7,2590.55303168498
483.063,9.209611882245525e-7,2630.1434045815668
483.455,9.111612620097699e-7,2670.066240366944
483.847,9.022530512311265e-7,2708.190353729631
484.238,8.941030205438972e-7,2746.681807907363
484.63,8.870740939730232e-7,2783.7291298198306
485.022,8.797059123962033e-7,2822.2749963648866
485.414,8.729115869141925e-7,2860.9766414191445
485.806,8.666595730693567e-7,2898.4347662291357
486.197,8.607613242443299e-7,2935.574229025394
486.589,8.553391924967498e-7,2971.4793968354725
486.98,8.50263987288983e-7,3006.7811377245534
487.372,8.454606409107564e-7,3041.895959075227
487.764,8.403888979079595e-7,3078.3167829903095
488.155,8.357198662177658e-7,3114.068627645367
488.546,8.315610555420155e-7,3148.3605570316295
488.938,8.273769036317987e-7,3183.419407542527
489.329,8.226328436470345e-7,3218.17292765462
489.72,8.178257272316852e-7,3253.3220479570646
490.111,8.133450606069317e-7,3287.5431673077737
490.503,8.090618965062912e-7,3321.7436610223285
490.894,8.049519966240596e-7,3355.6295594241938
491.285,8.016963919413082e-7,3388.568941587028
491.676,7.98158315172392e-7,3424.184359757313
492.067,7.955530522749755e-7,3455.550322533739
492.458,7.922618162342367e-7,3489.819203315227
492.849,7.886167421950278e-7,3525.522696329195
493.24,7.856342023769895e-7,3557.7443992809076
493.63,7.821067057346067e-7,3591.857108960885
494.021,7.785015431252781e-7,3626.634215674614
494.412,7.749562898166112e-7,3660.5356822778294
494.802,7.716649429593549e-7,3693.2222072411496
495.193,7.682774123479723e-7,3727.020128616945
495.584,7.65054918973466e-7,3760.3271060527945
495.974,7.621603685870845e-7,3792.590296889662
496.365,7.599539819565088e-7,3825.5789877199304
496.755,7.574085467967946e-7,3860.5101413067882
497.145,7.553732805965731e-7,3893.033250717108
497.536,7.531465452655725e-7,3925.4352824153048
497.926,7.510647598212945e-7,3957.2178827774887
498.316,7.484943671879732e-7,3989.990750287504
498.706,7.456666981059771e-7,4023.532858785742
499.097,7.432148478100362e-7,4056.420449167882
499.487,7.418059169867417e-7,4085.9426683057727
499.877,7.396663978126933e-7,4119.581863425463
500.267,7.374402419150957e-7,4153.237222905185
500.657,7.352006922216619e-7,4186.909983344571
501.047,7.329659574129483e-7,4220.528889241382
501.436,7.305454841172678e-7,4253.843129634777
501.826,7.284474052997543e-7,4285.476154974823
502.216,7.260509784718372e-7,4318.916055306606
502.606,7.236865436823003e-7,4352.145403233277
502.995,7.212484300957519e-7,4386.041795878435
503.385,7.193122277971796e-7,4420.778178741852
503.775,7.175084912573362e-7,4455.018146488479
504.164,7.156065641922991e-7,4488.769864245012
504.554,7.135644542378419e-7,4522.294286261912
504.943,7.115964321298053e-7,4555.7968923081025
505.332,7.095728021683924e-7,4588.542427066397
505.722,7.076500794148984e-7,4620.578464263527
506.111,7.05588962014904e-7,4654.907932479417
506.5,7.041876794025819e-7,4687.262028922297
506.89,7.026240944289848e-7,4721.063659436091
507.279,7.005325804879414e-7,4756.141261186233
507.668,6.985048748832304e-7,4790.078048538684
508.057,6.965642612393721e-7,4823.9274490753605
508.446,6.950450646006378e-7,4855.64888104585
508.835,6.935505097204788e-7,4887.49160883531
509.224,6.919601088747157e-7,4920.753789771447
509.613,6.907515611631661e-7,4952.431909690554
510.002,6.893287731976608e-7,4985.661277445117
510.39,6.876553554474234e-7,5017.0816334219
510.779,6.860297529195918e-7,5048.047547950454
511.168,6.840038142108487e-7,5083.522720783603
511.556,6.824369319546157e-7,5116.923574043966
511.945,6.811200936475292e-7,5148.51904733579
512.334,6.798733105688992e-7,5181.075322203275
512.722,6.784368515390951e-7,5215.454883610267
513.111,6.769860317766295e-7,5249.636081479427
513.499,6.756387278040652e-7,5282.212670685123
513.887,6.740584690038323e-7,5316.866183526985
